sutra,adhyaya,pada,num,text_slp1,text_iast,text_deva,kashika_available
1.1.1,1,1,1,vfdDirAdEc,vṛddhirādaic,वृद्धिरादैच्,no
1.1.2,1,1,2,adeN guRaH,adeṅ guṇaḥ,अदेङ् गुणः,no
1.1.3,1,1,3,iko guRavfdDI,iko guṇavṛddhī,इको गुणवृद्धी,no
1.1.4,1,1,4,na DAtulopa ArDaDAtuke,na dhātulopa ārdhadhātuke,न धातुलोप आर्धधातुके,no
1.1.5,1,1,5,kNiti ca,kṅiti ca,क्ङिति च,no
1.1.6,1,1,6,dIDIvevIwAm,dīdhīvevīṭām,दीधीवेवीटाम्,no
1.1.7,1,1,7,halo'nantarAH saMyogaH,halo'nantarāḥ saṃyogaḥ,हलोऽनन्तराः संयोगः,no
1.1.8,1,1,8,muKanAsikAvacano'nunAsikaH,mukhanāsikāvacano'nunāsikaḥ,मुखनासिकावचनोऽनुनासिकः,no
1.1.9,1,1,9,tulyAsyaprayatnaM savarRam,tulyāsyaprayatnaṃ savarṇam,तुल्यास्यप्रयत्नं सवर्णम्,no
1.1.10,1,1,10,nAjJalO,nājjhalau,नाज्झलौ,no
1.1.11,1,1,11,IdUdeddvivacanaM pragfhyam,īdūdeddvivacanaṃ pragṛhyam,ईदूदेद्द्विवचनं प्रगृह्यम्,no
1.1.12,1,1,12,adaso mAt,adaso māt,अदसो मात्,no
1.1.13,1,1,13,Se,śe,शे,no
1.1.14,1,1,14,nipAta ekAjanAN,nipāta ekājanāṅ,निपात एकाजनाङ्,no
1.1.15,1,1,15,ot,ot,ओत्,no
1.1.16,1,1,16,sambudDO SAkalyasyetAvanArze,sambuddhau śākalyasyetāvanārṣe,सम्बुद्धौ शाकल्यस्येतावनार्षे,no
1.1.17,1,1,17,uYaH,uñaḥ,उञः,no
1.1.18,1,1,18,U~,ū~,ऊ~,no
1.1.19,1,1,19,IdUtO ca saptamyarTe,īdūtau ca saptamyarthe,ईदूतौ च सप्तम्यर्थे,no
1.1.20,1,1,20,dADA GvadAp,dādhā ghvadāp,दाधा घ्वदाप्,no
1.1.21,1,1,21,Adyantavadekasmin,ādyantavadekasmin,आद्यन्तवदेकस्मिन्,no
1.1.22,1,1,22,taraptamapO GaH,taraptamapau ghaḥ,तरप्तमपौ घः,no
1.1.23,1,1,23,bahugaRavatuqati saMKyA,bahugaṇavatuḍati saṃkhyā,बहुगणवतुडति संख्या,no
1.1.24,1,1,24,zRAntA zaw,ṣṇāntā ṣaṭ,ष्णान्ता षट्,no
1.1.25,1,1,25,qati ca,ḍati ca,डति च,no
1.1.26,1,1,26,ktaktavatU nizWA,ktaktavatū niṣṭhā,क्तक्तवतू निष्ठा,no
1.1.27,1,1,27,sarvAdIni sarvanAmAni,sarvādīni sarvanāmāni,सर्वादीनि सर्वनामानि,no
